TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00342	110	0	91	0	0	0	0	0	0	0	382
0.00343	111	0	90	0	0	0	0	0	0	0	386
0.00344	111	0	91	0	0	0	0	0	0	0	388
0.00345	111	0	91	0	0	0	0	0	0	0	389
0.00346	111	0	91	0	0	0	0	0	0	0	389
0.00347	110	0	91	0	0	0	0	0	0	0	390
0.00348	110	0	92	0	0	0	0	0	0	0	391
0.00349	110	0	93	0	0	0	0	0	0	0	392
0.0035	112	0	92	0	0	0	0	0	0	0	395
0.00351	112	0	92	0	0	0	0	0	0	0	397
0.00352	112	0	92	0	0	0	0	0	0	0	398
0.00353	113	0	93	0	0	0	0	0	0	0	401
0.00354	113	0	93	0	0	0	0	0	0	0	402
0.00355	114	0	92	0	0	0	0	0	0	0	404
0.00356	114	0	93	0	0	0	0	0	0	0	407
0.00357	114	0	92	0	0	0	0	0	0	0	407
0.00358	115	0	89	0	0	0	0	0	0	0	409
0.00359	115	0	92	0	0	0	0	0	0	0	412
0.0036	116	0	92	0	0	0	0	0	0	0	414
0.00361	117	0	91	0	0	0	0	0	0	0	415
0.00362	117	0	91	0	0	0	0	0	0	0	416
0.00363	117	0	91	0	0	0	0	0	0	0	417
0.00364	118	0	92	0	0	0	0	0	0	0	420
0.00365	119	0	91	0	0	0	0	0	0	0	421
0.00366	119	0	91	0	0	0	0	0	0	0	423
0.00367	119	0	93	0	0	0	0	0	0	0	427
0.00368	119	0	92	0	0	0	0	0	0	0	428
0.00369	119	0	93	0	0	0	0	0	0	0	430
0.0037	119	0	94	0	0	0	0	0	0	0	432
0.00371	120	0	94	0	0	0	0	0	0	0	433
0.00372	120	0	94	0	0	0	0	0	0	0	433
0.00373	120	0	95	0	0	0	0	0	0	0	434
0.00374	120	0	94	0	0	0	0	0	0	0	435
0.00375	121	0	94	0	0	0	0	0	0	0	436
0.00376	121	0	94	0	0	0	0	0	0	0	438
0.00377	122	0	93	0	0	0	0	0	0	0	439
0.00378	122	0	94	0	0	0	0	0	0	0	441
0.00379	122	0	94	0	0	0	0	0	0	0	442
0.0038	123	0	94	0	0	0	0	0	0	0	444
0.00381	123	0	95	0	0	0	0	0	0	0	445
0.00382	123	0	94	0	0	0	0	0	0	0	446
0.00383	124	0	94	0	0	0	0	0	0	0	447
0.00384	125	0	95	0	0	0	0	0	0	0	449
0.00385	125	0	94	0	0	0	0	0	0	0	449
0.00386	125	0	95	0	0	0	0	0	0	0	450
0.00387	125	0	95	0	0	0	0	0	0	0	452
0.00388	125	0	95	0	0	0	0	0	0	0	452
0.00389	125	0	95	0	0	0	0	0	0	0	452
0.0039	125	0	96	0	0	0	0	0	0	0	456
0.00391	126	0	95	0	0	0	0	0	0	0	457
0.00392	126	0	96	0	0	0	0	0	0	0	459
0.00393	126	0	94	0	0	0	0	0	0	0	459
0.00394	126	0	94	0	0	0	0	0	0	0	460
0.00395	126	0	91	0	0	0	0	0	0	0	462
0.00396	127	0	91	0	0	0	0	0	0	0	464
0.00397	127	0	93	0	0	0	0	0	0	0	466
0.00398	127	0	88	0	0	0	0	0	0	0	467
0.00399	127	0	93	0	0	0	0	0	0	0	472
0.004	127	0	91	0	0	0	0	0	0	0	472
0.00401	127	0	91	0	0	0	0	0	0	0	474
0.00402	128	0	92	0	0	0	0	0	0	0	476
0.00403	129	0	92	0	0	0	0	0	0	0	480
0.00404	129	0	91	0	0	0	0	0	0	0	480
0.00405	129	0	91	0	0	0	0	0	0	0	481
0.00406	129	0	92	0	0	0	0	0	0	0	484
0.00407	131	0	93	0	0	0	0	0	0	0	488
0.00408	132	0	92	0	0	0	0	0	0	0	490
