Time (s): 0
459	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
5	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00116
959	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00117
959	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00118
959	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00119
959	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.0012
959	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
35	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00121
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00122
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00123
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00124
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00125
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00126
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00127
958	pip2: 1. 
464	trans: 1. 
458	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
